title,link,pub_date,description,sentiment_label,sentiment_score
Ranking the biggest Premier League title slip-ups,https://www.bbc.com/sport/football/articles/c0ljk11e390o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:22:16 GMT","With Arsenal desperate to banish their title-bottling demons, we look at the top 10 teams who have let Premier League leads slip.",neutral,-0.05
Deep-fried food and daily sausage rolls banned in new school dinner plans,https://www.bbc.com/news/articles/c624vezv52do?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 08:36:55 GMT","Schools are being told to cut down on sugary desserts, and provide more vegetables and whole grains.",positive,0.136
Woman fined £40 for £4k sale of fake Oasis tickets,https://www.bbc.com/news/articles/c0q93213jw1o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:58:01 GMT","Rosie Slater is also handed a 12-month community order after making £4,000 from fraudulent sales.",negative,-0.5
US judge dismisses $10bn Trump defamation suit against Wall Street Journal,https://www.bbc.com/news/articles/c995j57xepmo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:30:27 GMT","Trump sued the newspaper and its owners, including Rupert Murdoch, in a Florida federal court over a birthday book for Jeffrey Epstein.",neutral,0.0
Rapper Offset hits Coachella stage days after being shot,https://www.bbc.com/news/articles/clyxzk4044po?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 11:09:37 GMT","After his performance, the former Migos rapper was described by his mum as a ""miracle walking"".",neutral,0.0
Palestine Action group cleared of violent disorder,https://www.bbc.com/news/articles/cwyvgvwvpqlo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 16:59:05 GMT",The three defendants continue to face a charge of criminal damage.,negative,-0.367
Is the bite of the false widow spider dangerous?,https://www.bbc.com/news/articles/cwyvg1jyry0o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 13:41:57 GMT",Experts say noble false widow spiders could be to blame for an increase in bites being treated in hospital.,negative,-0.2
Roblox defends expanded age‑checks after parents raise concerns over errors,https://www.bbc.com/news/articles/cj94y9r0p10o?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 12:19:13 GMT","With 144m daily users, the gaming company is extending its tech to introduce two age‑specific accounts.",neutral,0.0
"The ""Systemic Failures"" Before The Southport Attack",https://www.bbc.co.uk/sounds/play/p0nbywqg?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 19:03:00 GMT",Inquiry finds Southport killer's family and authorities could have prevented attack.,neutral,0.0
McIlroy makes major warning after Masters triumph,https://www.bbc.com/sport/golf/articles/cj0vdv3qzpdo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:47:23 GMT","After retaining his Masters title, Rory McIlroy spent four hours dealing with presentations and interviews but was still smiling for the final one, writes Iain Carter.",neutral,-0.013
Man Utd's Martinez sent off for hair-pull against Leeds,https://www.bbc.com/sport/football/articles/c145mdge2gdo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 20:39:35 GMT",Manchester United defender Lisandro Martinez is sent off after 56 minutes for pulling the hair of Leeds United striker Dominic Calvert-Lewin at Old Trafford.,neutral,0.1
Spurs captain Romero out for rest of season with injury,https://www.bbc.com/sport/football/articles/c98mqrpz50vo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 15:51:49 GMT",Tottenham captain Cristian Romero is set to miss the rest of the season with the knee injury he sustained in their 1-0 defeat at Sunderland.,neutral,0.0
Another Sunday In Hell: The brutal race that thwarts the greats,https://www.bbc.com/sport/cycling/articles/cx2vld6yl3no?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 10:25:03 GMT",Paris-Roubaix's remains elite's sport's most volatile journey of daring and dust. And the Hell of the North is the one race legend Tadej Pogacar still can't win.,positive,0.142
Liverpool can do special things against PSG - Slot,https://www.bbc.com/sport/football/articles/c203ly4y5zeo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 17:55:34 GMT",Liverpool boss Arne Slot on why his side believe they can overcome a two-goal deficit against reigning champions Paris St-Germain in the Champions League on Tuesday.,positive,0.357
Anderson inspires Lancashire to dramatic win,https://www.bbc.com/sport/cricket/articles/cy01378w4jxo?at_medium=RSS&at_campaign=rss,"Mon, 13 Apr 2026 14:28:48 GMT",James Anderson takes 4-18 as Lancashire dismiss Derbyshire for 108 to win by 29 runs at Old Trafford.,positive,0.317
